Word,Tag 1,Tag 2,Tag 3,South Africa,Colour,Difficulty
1984,Language and Literature ,Book,,,0,3
1 2 Step,Music,,,,1,2
2-factor authentication,Technology,,,,1,2
Wall Street Crash,History,,,,0,2
30 Rock,TV Show,,,,1,2
30 seconds,Games,Boardgame,,1,1,1
3d printing,Technology,,,,0,2
5 second rule,Games,Boardgame,,,1,2
AB de Villiers,People and Characters,Sports,Cricket,1,1,2
7de Laan,TV Show,,,1,0,1
Siya Kolisi,People and Characters,Sports,Rugby,,,1
Bryan Habana,People and Characters,Sports,Rugby,,,1
Francois Pienaar,People and Characters,Sports,Rugby,,,3
John Smit,People and Characters,Sports,Rugby,,,2
Victor Matfield,People and Characters,Sports,Rugby,,,2
Ahmed Kathrada,People and Characters,Politician,,,1,3
5G,Technology,,,,1,1
Adventure Time,TV Show,,,,1,2
Alan Turing,People and Characters,,,,0,3
AfrikaBurn,Events,,,1,1,2
Agapanthus,Nature,South Africa,,1,0,3
Albertina Sisulu,People and Characters,Politician,,,1,3
AK-47,Things,,,,0,1
albaraka bank,Companies,,,1,1,2
American Civil War,History,,,,0,2
7 cards,Games,,,,0,2
African Wormwood,Nature,South Africa,,1,1,3
Ag nee man,Culture,South Africa,,1,1,1
agter 'n baard,Language and Literature ,Book,,1,0,3
Alabasta,Language and Literature ,Places,,,0,2
Alchemist,Language and Literature ,Book,,,0,2
American Psycho,Movies,Indian,,,1,2
Alphabet,Companies,,,1,0,1
Alhambra,Geography,Country,,,0,3
Alisson Becker,People and Characters,Sports,Soccer,,0,3
AL CAPONE,TV Show,,,,0,3
All Might,People and Characters,Anime,,,1,3
Andorra,Geography,Country,,,1,3
Alice’s Adventures in Wonderland,Language and Literature ,Book,,,1,2
Amish,People and Characters,,,,0,3
Altered Carbon,TV Show,,,,1,3
Anunnaki,People and Characters,,,,0,3
AI,Technology,,,,0,1
AmaXhosa,Language and Literature ,,,1,1,3
Anwar Sadat,People and Characters,Politician,,,1,2
Arceus,People and Characters,Pokemon,,,0,3
All i want for christmas is you,Music,Lyrics,,,1,2
Aneesa's,Companies,,,1,1,2
Amasie,Food and Drink,,,1,0,3
Angkor Wat,Geography,Landmarks,,,1,3
Anglo American,Companies,,,1,0,2
Aristotle,People and Characters,,,,0,3
Armadillo,Animals,,,,,2
Asgard,Language and Literature ,Places,,,0,3
Arnold Palmer,People and Characters,,,,1,3
All the Single Ladies,Music,Lyrics,,,1,1
Amazing Race,TV Show,,,,0,2
Ankara,Geography,City,Capital,,1,3
Apple,Companies,,,,1,1
art blakey,People and Characters,Music,Artist,,0,2
Atomic Habits,Language and Literature ,Book,,,1,2
Athol Fugard,People and Characters,,,,1,3
Bompi,Food and Drink,,,1,1,2
Azkaban,Language and Literature ,Places,,,0,3
and united we shall stand,Music,Lyrics,,1,1,1
Bad Bunny,People and Characters,Music,Artist,,0,2
Anglo-Zulu War,History,South Africa,,,0,3
ball is in your court,Language and Literature ,,,,0,2
Axolotl,Animals,,,,1,3
American Idol,TV Show,,,,1,1
*Cooking*,Actions,,,,1,1
Arab Springs,History,Event,,,0,2
Argentina,Geography,Country,,,,1
Arrested Development,TV Show,,,,0,3
Arduino,Companies,Technology,,,0,3
AT&T,Companies,,,,1,2
bassem youssef,People and Characters,Comedian,,1,1,2
The Last Airbender,TV Show,,,,1,2
Asimbonanga,Music,,,,1,3
Barakat,Food and Drink,Meal,,1,0,2
Athens,Geography,City,,,,2
BlackBerry,Technology,Things,,,0,1
Bayer AG,Companies,,,,0,3
Bantu Land Act,History,Event,,1,0,3
Bobotie,Food and Drink,,,1,1,2
Backstage,TV Show,,,1,0,2
Badminton,Sports,,,,0,2
Bidvest,Companies,,,,0,2
Bin Rashied,Companies,,,1,1,2
Australia,Geography,Country,,,,1
Black Death,History,Event,,,1,2
Boer War,History,South Africa,,1,0,2
Belize,Geography,Country,,,1,3
Andon Cord,Things,,,,1,3
"BAA, BAA, BLACK SHEEP",Music,Lyrics,,,1,1
Becoming,Language and Literature ,Book,,,0,2
Between Two Worlds ,Language and Literature ,Book,,,0,3
bang bang bang,Music,Lyrics ,triplets,,1,2
"Black Skin, White Masks",Language and Literature ,Book,,,0,3
Banshee,TV Show,,,,1,3
Breaking the ice,Language and Literature ,,,,1,1
BODMAS,Math and Science,,,,0,2
calabash,Nature,South Africa,,1,0,2
Anglerfish,Animals,,,,,3
beautiful girl,Music,Lyrics,,,1,2
Battlestar Galactica,TV Show,,,,0,3
BMW,Companies,,,,1,1
Big Bang Theory,TV Show,,,,1,2
Big Brother,TV Show,,,,0,2
Billie Jean King,People and Characters,Music,Artist,,1,2
Berlin,Geography,City,,,,2
Braai Day,Events,Holidays,,1,1,1
Big Mouth,TV Show,,,,1,2
Berlin Wall,Geography,Landmarks,,,1,2
BP,Companies,,,,0,1
Bjorn Borg,People and Characters,Sports,Tennis,,0,2
Capitec,Companies,,,,,1
Black Mirror,TV Show,,,,1,2
Bern,Geography,City,Capital,,1,3
Blackpink,People and Characters,Music,Artist,,1,1
best of both worlds,Music,,,,1,2
bethlehem,Geography,Landmarks,,,1,2
Bite the bullet,Language and Literature ,,,,1,1
Blink 182,People and Characters,Music,,,0,2
Boerewors,Food and Drink,,,1,0,1
Bromine,Math and Science,,,,0,3
Bohemian Rhapsody,Movies,Music,,,0,1
*Snorkelling*,Actions,,,,1,2
Calculus,Math and Science,,,,0,2
Carbon,Math and Science,,,,,1
Bhutan,Geography,Country,,,1,3
"Bet on it, bet on it",Music,Lyrics,,,1,2
Aye-aye,Animals,,,,1,3
Billie Jean,Music,Lyrics,,1,1,1
Boston Massacre,History,,,,0,2
Bleach,TV Show,Anime,,,0,2
Burger's Daughter ,Language and Literature ,Book,,,1,3
brexit,History,,,,0,1
Boris Johnson,People and Characters,Politician,,,1,2
Brenda Fassie,People and Characters,Music,,1,1,1
body is a wonderland,Music,Lyrics,,,1,3
Blood Diamond,Movies,,,,0,2
Boardwalk Empire,TV Show,,,,1,3
Boer maak 'n plan,Culture,,,1,1,1
Boileroom,TV Show,,,,0,2
Buffalo Springfield,People and Characters,Music,Artist,,1,2
Call of Duty,Games,,,,1,2
Canoeing,Sports,,,,0,2
Chess Boxing,Sports,,,,0,2
Castles of Burgundy,Games,,,,1,3
BoJack Horseman,TV Show,,,,1,3
Bobsleigh,Sports,,,,1,3
Boondocks,TV Show,,,,0,2
Bokke,Culture,,,1,1,1
Brandenburg Gate,Geography,Landmarks,,,0,3
Buchu,Nature,South Africa,,1,1,2
can't get you out of my head,Music,Lyrics,,,1,2
babirusa,Animals,,,,0,3
Chanel,Companies,,,,1,2
Charlotte’s Web,Language and Literature ,Book,,,0,3
Carpenters,People and Characters,Music,,,0,2
Boet,Culture,,,1,1,1
Bouldering,Sports,,,,0,3
Gold Rush,History,,,,0,2
Breaking Bad,TV Show,,,,1,2
Brooklyn Nine-Nine,TV Show,,,,0,2
Cluedo,Games,Boardgame,,,1,2
Clockwork Princess,Language and Literature ,Book,,,0,3
Bokkoms,Food and Drink,,,1,1,3
Braaibroodjies,Food and Drink,,,1,0,3
Blockchain,Technology,,,,1,2
Chakalaka,Food and Drink,,,1,1,2
Chappies,Food and Drink,,,1,0,2
Brasília,Geography,City,,,,2
Cape Town Klopse,Culture,,,1,1,1
Biltong,Food and Drink,,,1,1,1
Bratislava,Geography,City,Capital,,0,3
Casey Neistat,People and Characters,Youtube,,1,1,2
Connect Four,Games,Boardgame,,,0,3
Cassper Nyovest,People and Characters,Music,,1,1,2
Buffy the Vampire Slayer,TV Show,,,,1,2
Carte Blanche,TV Show,,,1,1,1
Brazil,Geography,Country,,,,1
Champagne papi,People and Characters,Music,Artist,,1,2
Color Purple,Language and Literature ,Book,,,0,2
Coruscant,Language and Literature ,Places,,,1,3
BRIDGET JONES'S DIARY,Movies,,,,1,2
Cape Colony,History,South Africa,,1,0,2
Burning Man,Events,,,,,2
Chalte Chalte,Movies,,,,0,3
Cape Aloe,Nature,South Africa,,1,0,2
China Floods,History,Event,,,0,3
Caracara,Music,Lyrics,,,1,2
Chevron ,Companies,,,,0,2
COVID-19,History,Event,,,0,1
Cowboy Bebop,TV Show,Anime,,,0,3
Charlize Theron,People and Characters,Actor,,1,0,1
Chilli Popper,Food and Drink,Meal,,1,0,2
*Exercising*,Actions,,,,1,1
Brunei,Geography,Country,,,0,3
careless whisper,Music,,,,1,3
Chris Hani,People and Characters,Politician,,1,1,2
Chaos Theory,Math and Science,,,,0,3
Churros,Food and Drink,Meal,,1,1,2
crayfish curry,Food and Drink,Meal,,1,0,2
crazy eights,Games,,,,0,2
Cape Town Dance Festival,Events,,,1,0,2
Caber Tossing,Sports,,,,1,3
"[Hypothesis, Methodlogy, Conclusion]",Technical,triplets,,,0,2
cheese boy,Culture,,,1,1,2
Cheese-rolling,Sports,,,,1,3
Crusades,History,,,,0,2
Christopher Nolan,People and Characters,Actor,,,0,2
City of God,Movies,,,,0,2
D-Day,History,,,,0,2
daltjies,Food and Drink,,,1,1,2
Bucharest,Geography,City,Capital,,0,3
Cleopatra,People and Characters,,,,1,2
Creed,Movies,,,,1,2
Buckingham Palace,Geography,Landmarks,,,0,2
"Crouching Tiger, Hidden Dragon",Movies,,,,0,2
Buenos Aires,Geography,City,Capital,,0,2
De Oranjes,History,,,,0,3
Cost an arm and a leg,Language and Literature ,,,,0,2
Danja Sausage,Food and Drink,,,1,0,2
Crown,TV Show,,,,0,2
Equestrianism,Sports,,,,0,3
Coldplay,People and Characters,Music,,,0,2
Denningvleis,Food and Drink,,,1,1,3
Double Hotdog,Food and Drink,,,1,0,2
*walking*,Actions,,,,1,1
chemotherapy,Math and Science,,,,0,2
cryptography,Technology,,,,0,2
Clicks,Companies,,,,,1
Crooked Kingdom,Language and Literature ,Book,,,1,3
Despacito,Music,Lyrics,,1,1,2
Curb Your Enthusiasm,TV Show,,,,1,3
Cobalt,Math and Science,,,,0,2
Chess,Sports,,,,1,1
